NDC,CUI_L1_NAME,BRAND_GENERIC,CUI_L2_NAME_ARRAY,INGREDIENT_NAME_ARRAY,BRANDED_INGREDIENT_NAME_ARRAY,PKG_STRENGTH,PKG_QTY,STRENGTH_MG,DFG_NAME_ARRAY,DF_NAME_ARRAY,PIN_NAME_ARRAY,ALL_INGREDIENTS
13107003105,mirtazapine 15 mg oral tablet,generic,"[
  ""mirtazapine 15 mg""
]","[
  ""mirtazapine""
]",[],15 MG,,15.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""mirtazapine Oral Product"",
  ""mirtazapine Pill""
]","[
  ""mirtazapine hemihydrate""
]",mirtazapine
13107003134,mirtazapine 15 mg oral tablet,generic,"[
  ""mirtazapine 15 mg""
]","[
  ""mirtazapine""
]",[],15 MG,,15.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""mirtazapine Oral Product"",
  ""mirtazapine Pill""
]","[
  ""mirtazapine hemihydrate""
]",mirtazapine
13107003234,mirtazapine 45 mg oral tablet,generic,"[
  ""mirtazapine 45 mg""
]","[
  ""mirtazapine""
]",[],45 MG,,45.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""mirtazapine Oral Product"",
  ""mirtazapine Pill""
]","[
  ""mirtazapine hemihydrate""
]",mirtazapine
13107004401,acetaminophen 325 mg / oxycodone hydrochloride 5 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 5 mg"",
  ""acetaminophen 325 mg""
]","[
  ""acetaminophen"",
  ""oxycodone""
]",[],325 MG / 5 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / oxycodone Oral Product"",
  ""acetaminophen / oxycodone Pill""
]",,acetaminophen || oxycodone
13107004405,acetaminophen 325 mg / oxycodone hydrochloride 5 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 5 mg"",
  ""acetaminophen 325 mg""
]","[
  ""acetaminophen"",
  ""oxycodone""
]",[],325 MG / 5 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / oxycodone Oral Product"",
  ""acetaminophen / oxycodone Pill""
]",,acetaminophen || oxycodone
13107004501,acetaminophen 325 mg / oxycodone hydrochloride 7.5 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 7.5 mg"",
  ""acetaminophen 325 mg""
]","[
  ""acetaminophen"",
  ""oxycodone""
]",[],325 MG / 7.5 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / oxycodone Oral Product"",
  ""acetaminophen / oxycodone Pill""
]",,acetaminophen || oxycodone
13107004601,acetaminophen 325 mg / oxycodone hydrochloride 10 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 10 mg"",
  ""acetaminophen 325 mg""
]","[
  ""acetaminophen"",
  ""oxycodone""
]",[],325 MG / 10 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / oxycodone Oral Product"",
  ""acetaminophen / oxycodone Pill""
]",,acetaminophen || oxycodone
13107005501,oxycodone hydrochloride 5 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 5 mg""
]","[
  ""oxycodone""
]",[],5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""oxycodone Oral Product"",
  ""oxycodone Pill""
]","[
  ""oxycodone terephthalate"",
  ""oxycodone hydrochloride""
]",oxycodone
13107005701,oxycodone hydrochloride 30 mg oral tablet,generic,"[
  ""oxycodone hydrochloride 30 mg""
]","[
  ""oxycodone""
]",[],30 MG,,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""oxycodone Oral Product"",
  ""oxycodone Pill""
]","[
  ""oxycodone terephthalate"",
  ""oxycodone hydrochloride""
]",oxycodone
13107005801,acetaminophen 300 mg / codeine phosphate 15 mg oral tablet,generic,"[
  ""acetaminophen 300 mg"",
  ""codeine phosphate 15 mg""
]","[
  ""acetaminophen"",
  ""codeine""
]",[],300 MG / 15 MG,,300.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / codeine Oral Product"",
  ""acetaminophen / codeine Pill""
]",,acetaminophen || codeine
13107005999,acetaminophen 300 mg / codeine phosphate 30 mg oral tablet,generic,"[
  ""acetaminophen 300 mg"",
  ""codeine phosphate 30 mg""
]","[
  ""acetaminophen"",
  ""codeine""
]",[],300 MG / 30 MG,,300.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen / codeine Oral Product"",
  ""acetaminophen / codeine Pill""
]",,acetaminophen || codeine
13107006101,phentermine hydrochloride 37.5 mg oral tablet,generic,"[
  ""phentermine hydrochloride 37.5 mg""
]","[
  ""phentermine""
]",[],37.5 MG,,37.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""phentermine Oral Product"",
  ""phentermine Pill""
]","[
  ""phentermine resin"",
  ""phentermine hydrochloride""
]",phentermine
13107007401,amphetamine aspartate 7.5 mg / amphetamine sulfate 7.5 mg / dextroamphetamine saccharate 7.5 mg / dextroamphetamine sulfate 7.5 mg oral tablet,generic,"[
  ""amphetamine aspartate 7.5 mg"",
  ""amphetamine sulfate 7.5 mg"",
  ""dextroamphetamine saccharate 7.5 mg"",
  ""dextroamphetamine sulfate 7.5 mg""
]","[
  ""amphetamine"",
  ""dextroamphetamine""
]",[],7.5 MG / 7.5 MG / 7.5 MG / 7.5 MG,,7.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amphetamine / dextroamphetamine Oral Product"",
  ""amphetamine / dextroamphetamine Pill""
]","[
  ""amphetamine aspartate"",
  ""dextroamphetamine saccharate"",
  ""dextroamphetamine sulfate"",
  ""amphetamine sulfate""
]",amphetamine || dextroamphetamine
13107008401,lorazepam 1 mg oral tablet,generic,"[
  ""lorazepam 1 mg""
]","[
  ""lorazepam""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""lorazepam Oral Product"",
  ""lorazepam Pill""
]",,lorazepam
13107008405,lorazepam 1 mg oral tablet,generic,"[
  ""lorazepam 1 mg""
]","[
  ""lorazepam""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""lorazepam Oral Product"",
  ""lorazepam Pill""
]",,lorazepam
13107015530,paroxetine hydrochloride 20 mg oral tablet,generic,"[
  ""paroxetine hydrochloride 20 mg""
]","[
  ""paroxetine""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""paroxetine Oral Product"",
  ""paroxetine Pill""
]","[
  ""paroxetine hydrochloride, hemihydrate"",
  ""paroxetine hydrochloride anhydrous"",
  ""paroxetine hydrochloride"",
  ""paroxetine mesylate""
]",paroxetine
13107015590,paroxetine hydrochloride 20 mg oral tablet,generic,"[
  ""paroxetine hydrochloride 20 mg""
]","[
  ""paroxetine""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""paroxetine Oral Product"",
  ""paroxetine Pill""
]","[
  ""paroxetine hydrochloride, hemihydrate"",
  ""paroxetine hydrochloride anhydrous"",
  ""paroxetine hydrochloride"",
  ""paroxetine mesylate""
]",paroxetine
13107015599,paroxetine hydrochloride 20 mg oral tablet,generic,"[
  ""paroxetine hydrochloride 20 mg""
]","[
  ""paroxetine""
]",[],20 MG,,20.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""paroxetine Oral Product"",
  ""paroxetine Pill""
]","[
  ""paroxetine hydrochloride, hemihydrate"",
  ""paroxetine hydrochloride anhydrous"",
  ""paroxetine hydrochloride"",
  ""paroxetine mesylate""
]",paroxetine
13107015799,paroxetine hydrochloride 40 mg oral tablet,generic,"[
  ""paroxetine hydrochloride 40 mg""
]","[
  ""paroxetine""
]",[],40 MG,,40.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""paroxetine Oral Product"",
  ""paroxetine Pill""
]","[
  ""paroxetine hydrochloride, hemihydrate"",
  ""paroxetine hydrochloride anhydrous"",
  ""paroxetine hydrochloride"",
  ""paroxetine mesylate""
]",paroxetine
13310014601,sulfamethoxazole 800 mg / trimethoprim 160 mg oral tablet [bactrim],brand,"[
  ""sulfamethoxazole 800 mg / trimethoprim 160 mg [bactrim]"",
  ""sulfamethoxazole 800 mg / trimethoprim 160 mg [bactrim]""
]","[
  ""sulfamethoxazole"",
  ""trimethoprim""
]","[
  ""Bactrim""
]",800 MG / 160 MG,,800.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Bactrim Oral Product"",
  ""Bactrim Pill""
]",,sulfamethoxazole || trimethoprim || Bactrim
76282024930,escitalopram 5 mg oral tablet,generic,"[
  ""escitalopram 5 mg""
]","[
  ""escitalopram""
]",[],5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""escitalopram Oral Product"",
  ""escitalopram Pill""
]","[
  ""escitalopram oxalate""
]",escitalopram
76282025010,escitalopram 10 mg oral tablet,generic,"[
  ""escitalopram 10 mg""
]","[
  ""escitalopram""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""escitalopram Oral Product"",
  ""escitalopram Pill""
]","[
  ""escitalopram oxalate""
]",escitalopram
76282025805,nabumetone 750 mg oral tablet,generic,"[
  ""nabumetone 750 mg""
]","[
  ""nabumetone""
]",[],750 MG,,750.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""nabumetone Oral Product"",
  ""nabumetone Pill""
]",,nabumetone
76282040605,gabapentin 800 mg oral tablet,generic,"[
  ""gabapentin 800 mg""
]","[
  ""gabapentin""
]",[],800 MG,,800.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""gabapentin Oral Product"",
  ""gabapentin Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin
76282041990,lisinopril 10 mg oral tablet,generic,"[
  ""lisinopril 10 mg""
]","[
  ""lisinopril""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""lisinopril Oral Product"",
  ""lisinopril Pill""
]","[
  ""lisinopril anhydrous""
]",lisinopril
76282062705,gabapentin 300 mg oral capsule,generic,"[
  ""gabapentin 300 mg""
]","[
  ""gabapentin""
]",[],300 MG,,300.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""gabapentin Oral Product"",
  ""gabapentin Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin
64679070102,ceftriaxone 250 mg injection,generic,"[
  ""ceftriaxone 250 mg""
]","[
  ""ceftriaxone""
]",[],250 MG,,250.0,"[
  ""Injectable Product""
]","[
  ""ceftriaxone Injectable Product""
]","[
  ""ceftriaxone sodium""
]",ceftriaxone
64679073503,24 hr metoprolol succinate 50 mg extended release oral tablet,generic,"[
  ""metoprolol succinate 50 mg""
]","[
  ""metoprolol""
]",[],50 MG (expressed as metoprolol succinate),24 HR,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""metoprolol Oral Product"",
  ""metoprolol Pill""
]","[
  ""metoprolol fumarate"",
  ""metoprolol tartrate"",
  ""metoprolol succinate""
]",metoprolol
64679073602,24 hr metoprolol succinate 100 mg extended release oral tablet,generic,"[
  ""metoprolol succinate 100 mg""
]","[
  ""metoprolol""
]",[],100 MG (expressed as metoprolol succinate),24 HR,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""metoprolol Oral Product"",
  ""metoprolol Pill""
]","[
  ""metoprolol fumarate"",
  ""metoprolol tartrate"",
  ""metoprolol succinate""
]",metoprolol
64679083001,24 hr bupropion hydrochloride 450 mg extended release oral tablet,generic,"[
  ""bupropion hydrochloride 450 mg""
]","[
  ""bupropion""
]",[],450 MG,24 HR,450.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""bupropion Oral Product"",
  ""bupropion Pill""
]","[
  ""bupropion hydrochloride"",
  ""bupropion hydrobromide""
]",bupropion
64679084610,24 hr metoprolol succinate 25 mg extended release oral tablet,generic,"[
  ""metoprolol succinate 25 mg""
]","[
  ""metoprolol""
]",[],25 MG (expressed as metoprolol succinate),24 HR,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""metoprolol Oral Product"",
  ""metoprolol Pill""
]","[
  ""metoprolol fumarate"",
  ""metoprolol tartrate"",
  ""metoprolol succinate""
]",metoprolol
64679092101,cefuroxime 250 mg oral tablet,generic,"[
  ""cefuroxime 250 mg""
]","[
  ""cefuroxime""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefuroxime Oral Product"",
  ""cefuroxime Pill""
]","[
  ""cefuroxime sodium"",
  ""cefuroxime axetil""
]",cefuroxime
64679092201,cefuroxime 500 mg oral tablet,generic,"[
  ""cefuroxime 500 mg""
]","[
  ""cefuroxime""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""cefuroxime Oral Product"",
  ""cefuroxime Pill""
]","[
  ""cefuroxime sodium"",
  ""cefuroxime axetil""
]",cefuroxime
64679092402,enalapril maleate 5 mg oral tablet,generic,"[
  ""enalapril maleate 5 mg""
]","[
  ""enalapril""
]",[],5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""enalapril Oral Product"",
  ""enalapril Pill""
]","[
  ""enalapril maleate""
]",enalapril
64679092502,enalapril maleate 10 mg oral tablet,generic,"[
  ""enalapril maleate 10 mg""
]","[
  ""enalapril""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""enalapril Oral Product"",
  ""enalapril Pill""
]","[
  ""enalapril maleate""
]",enalapril
64679096101,azithromycin 250 mg oral tablet,generic,"[
  ""azithromycin 250 mg""
]","[
  ""azithromycin""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""azithromycin Oral Product"",
  ""azithromycin Pill""
]","[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096104,{6 (azithromycin 250 mg oral tablet) } pack,generic,"[
  ""azithromycin 250 mg""
]","[
  ""azithromycin""
]",[],,,,,,"[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096104,azithromycin 250 mg oral tablet,generic,"[
  ""azithromycin 250 mg""
]","[
  ""azithromycin""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""azithromycin Oral Product"",
  ""azithromycin Pill""
]","[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096105,{6 (azithromycin 250 mg oral tablet) } pack,generic,"[
  ""azithromycin 250 mg""
]","[
  ""azithromycin""
]",[],,,,,,"[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096105,azithromycin 250 mg oral tablet,generic,"[
  ""azithromycin 250 mg""
]","[
  ""azithromycin""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""azithromycin Oral Product"",
  ""azithromycin Pill""
]","[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096405,azithromycin 500 mg oral tablet,generic,"[
  ""azithromycin 500 mg""
]","[
  ""azithromycin""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""azithromycin Oral Product"",
  ""azithromycin Pill""
]","[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679096405,{3 (azithromycin 500 mg oral tablet) } pack,generic,"[
  ""azithromycin 500 mg""
]","[
  ""azithromycin""
]",[],,,,,,"[
  ""azithromycin monohydrate"",
  ""azithromycin anhydrous"",
  ""azithromycin dihydrate""
]",azithromycin
64679098302,ceftriaxone 1000 mg injection,generic,"[
  ""ceftriaxone 1000 mg""
]","[
  ""ceftriaxone""
]",[],1000 MG,,1000.0,"[
  ""Injectable Product""
]","[
  ""ceftriaxone Injectable Product""
]","[
  ""ceftriaxone sodium""
]",ceftriaxone
64720013510,amphetamine aspartate 5 mg / amphetamine sulfate 5 mg / dextroamphetamine saccharate 5 mg / dextroamphetamine sulfate 5 mg oral tablet,generic,"[
  ""amphetamine sulfate 5 mg"",
  ""dextroamphetamine saccharate 5 mg"",
  ""amphetamine aspartate 5 mg"",
  ""dextroamphetamine sulfate 5 mg""
]","[
  ""amphetamine"",
  ""dextroamphetamine""
]",[],5 MG / 5 MG / 5 MG / 5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amphetamine / dextroamphetamine Oral Product"",
  ""amphetamine / dextroamphetamine Pill""
]","[
  ""amphetamine aspartate"",
  ""dextroamphetamine saccharate"",
  ""dextroamphetamine sulfate"",
  ""amphetamine sulfate""
]",amphetamine || dextroamphetamine
64720013610,amphetamine aspartate 7.5 mg / amphetamine sulfate 7.5 mg / dextroamphetamine saccharate 7.5 mg / dextroamphetamine sulfate 7.5 mg oral tablet,generic,"[
  ""amphetamine aspartate 7.5 mg"",
  ""amphetamine sulfate 7.5 mg"",
  ""dextroamphetamine saccharate 7.5 mg"",
  ""dextroamphetamine sulfate 7.5 mg""
]","[
  ""amphetamine"",
  ""dextroamphetamine""
]",[],7.5 MG / 7.5 MG / 7.5 MG / 7.5 MG,,7.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""amphetamine / dextroamphetamine Oral Product"",
  ""amphetamine / dextroamphetamine Pill""
]","[
  ""amphetamine aspartate"",
  ""dextroamphetamine saccharate"",
  ""dextroamphetamine sulfate"",
  ""amphetamine sulfate""
]",amphetamine || dextroamphetamine
10135014460,acetaminophen 500 mg oral tablet,generic,"[
  ""acetaminophen 500 mg""
]","[
  ""acetaminophen""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acetaminophen Oral Product"",
  ""acetaminophen Pill""
]",,acetaminophen
10135018201,folic acid 1 mg oral tablet,generic,"[
  ""folic acid 1 mg""
]","[
  ""folic acid""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""folic acid Oral Product"",
  ""folic acid Pill""
]","[
  ""sodium folate""
]",folic acid
10135062001,phenazopyridine hydrochloride 100 mg oral tablet,generic,"[
  ""phenazopyridine hydrochloride 100 mg""
]","[
  ""phenazopyridine""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""phenazopyridine Oral Product"",
  ""phenazopyridine Pill""
]","[
  ""phenazopyridine hydrochloride""
]",phenazopyridine
10135064401,gabapentin 100 mg oral capsule,generic,"[
  ""gabapentin 100 mg""
]","[
  ""gabapentin""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""gabapentin Oral Product"",
  ""gabapentin Pill""
]","[
  ""gabapentin enacarbil""
]",gabapentin
10135065201,vitamin b12 1 mg oral tablet,generic,"[
  ""vitamin b12 1 mg""
]","[
  ""vitamin B12""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vitamin B12 Oral Product"",
  ""vitamin B12 Pill""
]",,vitamin B12
10135065250,vitamin b12 1 mg oral tablet,generic,"[
  ""vitamin b12 1 mg""
]","[
  ""vitamin B12""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vitamin B12 Oral Product"",
  ""vitamin B12 Pill""
]",,vitamin B12
10135068312,polyethylene glycol 3350 17000 mg powder for oral solution,generic,"[
  ""polyethylene glycol 3350 17000 mg""
]","[
  ""polyethylene glycol 3350""
]",[],17000 MG,,17000.0,"[
  ""Oral Product"",
  ""Oral Powder Product""
]","[
  ""polyethylene glycol 3350 Oral Product"",
  ""polyethylene glycol 3350 Oral Powder Product""
]",,polyethylene glycol 3350
47781064990,levothyroxine sodium 0.088 mg oral tablet,generic,"[
  ""levothyroxine sodium 0.088 mg""
]","[
  ""levothyroxine""
]",[],0.088 MG,,0.1,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""levothyroxine Pill"",
  ""levothyroxine Oral Product""
]","[
  ""levothyroxine sodium anhydrous"",
  ""levothyroxine sodium""
]",levothyroxine
47781065110,levothyroxine sodium 0.1 mg oral tablet,generic,"[
  ""levothyroxine sodium 0.1 mg""
]","[
  ""levothyroxine""
]",[],0.1 MG,,0.1,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""levothyroxine Pill"",
  ""levothyroxine Oral Product""
]","[
  ""levothyroxine sodium anhydrous"",
  ""levothyroxine sodium""
]",levothyroxine
47781072902,vancomycin 125 mg oral capsule,generic,"[
  ""vancomycin 125 mg""
]","[
  ""vancomycin""
]",[],125 MG,,125.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vancomycin Oral Product"",
  ""vancomycin Pill""
]","[
  ""vancomycin hydrochloride""
]",vancomycin
47781072950,vancomycin 125 mg oral capsule,generic,"[
  ""vancomycin 125 mg""
]","[
  ""vancomycin""
]",[],125 MG,,125.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vancomycin Oral Product"",
  ""vancomycin Pill""
]","[
  ""vancomycin hydrochloride""
]",vancomycin
47781073002,vancomycin 250 mg oral capsule,generic,"[
  ""vancomycin 250 mg""
]","[
  ""vancomycin""
]",[],250 MG,,250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vancomycin Oral Product"",
  ""vancomycin Pill""
]","[
  ""vancomycin hydrochloride""
]",vancomycin
00603616021,trazodone hydrochloride 50 mg oral tablet,generic,"[
  ""trazodone hydrochloride 50 mg""
]","[
  ""trazodone""
]",[],50 MG,,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""trazodone Oral Product"",
  ""trazodone Pill""
]","[
  ""trazodone hydrochloride""
]",trazodone
00603616028,trazodone hydrochloride 50 mg oral tablet,generic,"[
  ""trazodone hydrochloride 50 mg""
]","[
  ""trazodone""
]",[],50 MG,,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""trazodone Oral Product"",
  ""trazodone Pill""
]","[
  ""trazodone hydrochloride""
]",trazodone
00603616032,trazodone hydrochloride 50 mg oral tablet,generic,"[
  ""trazodone hydrochloride 50 mg""
]","[
  ""trazodone""
]",[],50 MG,,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""trazodone Oral Product"",
  ""trazodone Pill""
]","[
  ""trazodone hydrochloride""
]",trazodone
00603616132,trazodone hydrochloride 100 mg oral tablet,generic,"[
  ""trazodone hydrochloride 100 mg""
]","[
  ""trazodone""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""trazodone Oral Product"",
  ""trazodone Pill""
]","[
  ""trazodone hydrochloride""
]",trazodone
00603634502,hydrochlorothiazide 12.5 mg / valsartan 80 mg oral tablet,generic,"[
  ""hydrochlorothiazide 12.5 mg"",
  ""valsartan 80 mg""
]","[
  ""hydrochlorothiazide"",
  ""valsartan""
]",[],12.5 MG / 80 MG,,12.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""hydrochlorothiazide / valsartan Oral Product"",
  ""hydrochlorothiazide / valsartan Pill""
]",,hydrochlorothiazide || valsartan
00603646821,zolpidem tartrate 5 mg oral tablet,generic,"[
  ""zolpidem tartrate 5 mg""
]","[
  ""zolpidem""
]",[],5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""zolpidem Oral Product"",
  ""zolpidem Pill""
]","[
  ""zolpidem tartrate""
]",zolpidem
00603646928,zolpidem tartrate 10 mg oral tablet,generic,"[
  ""zolpidem tartrate 10 mg""
]","[
  ""zolpidem""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""zolpidem Oral Product"",
  ""zolpidem Pill""
]","[
  ""zolpidem tartrate""
]",zolpidem
00603646932,zolpidem tartrate 10 mg oral tablet,generic,"[
  ""zolpidem tartrate 10 mg""
]","[
  ""zolpidem""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""zolpidem Oral Product"",
  ""zolpidem Pill""
]","[
  ""zolpidem tartrate""
]",zolpidem
00603754017,,,,,,,,,,,,
00603763417,,,,,,,,,,,,
00603763449,,,,,,,,,,,,
00603780550,miconazole nitrate 20 mg/ml topical cream,generic,"[
  ""miconazole nitrate 20 mg/ml""
]","[
  ""miconazole""
]",[],20 MG/ML,,20.0,"[
  ""Topical Product""
]","[
  ""miconazole Topical Product""
]","[
  ""miconazole nitrate""
]",miconazole
00603781874,nystatin 100000 unt/ml topical cream,generic,"[
  ""nystatin 100000 unt/ml""
]","[
  ""nystatin""
]",[],100000 UNT/ML,,100000.0,"[
  ""Topical Product""
]","[
  ""nystatin Topical Product""
]",,nystatin
00603781878,nystatin 100000 unt/ml topical cream,generic,"[
  ""nystatin 100000 unt/ml""
]","[
  ""nystatin""
]",[],100000 UNT/ML,,100000.0,"[
  ""Topical Product""
]","[
  ""nystatin Topical Product""
]",,nystatin
00603786274,triamcinolone acetonide 1 mg/ml topical cream,generic,"[
  ""triamcinolone acetonide 1 mg/ml""
]","[
  ""triamcinolone""
]",[],1 MG/ML,,1.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
00603786278,triamcinolone acetonide 1 mg/ml topical cream,generic,"[
  ""triamcinolone acetonide 1 mg/ml""
]","[
  ""triamcinolone""
]",[],1 MG/ML,,1.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
00603786290,triamcinolone acetonide 1 mg/ml topical cream,generic,"[
  ""triamcinolone acetonide 1 mg/ml""
]","[
  ""triamcinolone""
]",[],1 MG/ML,,1.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
00603786449,triamcinolone acetonide 1 mg/ml topical lotion,generic,"[
  ""triamcinolone acetonide 1 mg/ml""
]","[
  ""triamcinolone""
]",[],1 MG/ML,,1.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
42291008830,acitretin 25 mg oral capsule,generic,"[
  ""acitretin 25 mg""
]","[
  ""acitretin""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""acitretin Oral Product"",
  ""acitretin Pill""
]",,acitretin
63824005620,12 hr dextromethorphan hydrobromide 30 mg / guaifenesin 600 mg extended release oral tablet,generic,"[
  ""dextromethorphan hydrobromide 30 mg"",
  ""guaifenesin 600 mg""
]","[
  ""dextromethorphan"",
  ""guaifenesin""
]",[],30 MG / 600 MG,12 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""dextromethorphan / guaifenesin Oral Product"",
  ""dextromethorphan / guaifenesin Pill""
]",,dextromethorphan || guaifenesin
63824005632,12 hr dextromethorphan hydrobromide 30 mg / guaifenesin 600 mg extended release oral tablet,generic,"[
  ""dextromethorphan hydrobromide 30 mg"",
  ""guaifenesin 600 mg""
]","[
  ""dextromethorphan"",
  ""guaifenesin""
]",[],30 MG / 600 MG,12 HR,30.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""dextromethorphan / guaifenesin Oral Product"",
  ""dextromethorphan / guaifenesin Pill""
]",,dextromethorphan || guaifenesin
