CODE,CODE_ORIG,CODE_DESCRIPTION
H65193,H65.193,"Other acute nonsuppurative otitis media, bilateral"
H6521,H65.21,"Chronic serous otitis media, right ear"
H6523,H65.23,"Chronic serous otitis media, bilateral"
H6531,H65.31,"Chronic mucoid otitis media, right ear"
H6533,H65.33,"Chronic mucoid otitis media, bilateral"
H65413,H65.413,"Chronic allergic otitis media, bilateral"
H6591,H65.91,"Unspecified nonsuppurative otitis media, right ear"
H6592,H65.92,"Unspecified nonsuppurative otitis media, left ear"
H6593,H65.93,"Unspecified nonsuppurative otitis media, bilateral"
H66001,H66.001,"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear"
H66002,H66.002,"Acute suppurative otitis media without spontaneous rupture of ear drum, left ear"
H66003,H66.003,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral"
H66005,H66.005,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear"
H66006,H66.006,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral"
H66009,H66.009,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear"
H6641,H66.41,"Suppurative otitis media, unspecified, right ear"
H6642,H66.42,"Suppurative otitis media, unspecified, left ear"
H6690,H66.90,"Otitis media, unspecified, unspecified ear"
H6691,H66.91,"Otitis media, unspecified, right ear"
H6692,H66.92,"Otitis media, unspecified, left ear"
H6693,H66.93,"Otitis media, unspecified, bilateral"
H68023,H68.023,"Chronic Eustachian salpingitis, bilateral"
H68123,H68.123,"Intrinsic cartilagenous obstruction of Eustachian tube, bilateral"
H6900,H69.00,"Patulous Eustachian tube, unspecified ear"
H6980,H69.80,"Other specified disorders of Eustachian tube, unspecified ear"
H6981,H69.81,"Other specified disorders of Eustachian tube, right ear"
H6982,H69.82,"Other specified disorders of Eustachian tube, left ear"
H6983,H69.83,"Other specified disorders of Eustachian tube, bilateral"
H6990,H69.90,"Unspecified Eustachian tube disorder, unspecified ear"
H6992,H69.92,"Unspecified Eustachian tube disorder, left ear"
H6993,H69.93,"Unspecified Eustachian tube disorder, bilateral"
H7011,H70.11,"Chronic mastoiditis, right ear"
H7091,H70.91,"Unspecified mastoiditis, right ear"
H7112,H71.12,"Cholesteatoma of tympanum, left ear"
H7201,H72.01,"Central perforation of tympanic membrane, right ear"
H7202,H72.02,"Central perforation of tympanic membrane, left ear"
H722X1,H72.2X1,"Other marginal perforations of tympanic membrane, right ear"
H7291,H72.91,"Unspecified perforation of tympanic membrane, right ear"
H7292,H72.92,"Unspecified perforation of tympanic membrane, left ear"
H7393,H73.93,"Unspecified disorder of tympanic membrane, bilateral"
W000XXA,W00.0XXA,"Fall on same level due to ice and snow, initial encounter"
W010XXA,W01.0XXA,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, initial encounter"
W010XXD,W01.0XXD,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, subsequent encounter"
W0110XA,W01.10XA,"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object, initial encounter"
W01198A,W01.198A,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object, initial encounter"
W06XXXA,W06.XXXA,"Fall from bed, initial encounter"
W10,W10,Fall on and from stairs and steps
W108XXA,W10.8XXA,"Fall (on) (from) other stairs and steps, initial encounter"
W108XXD,W10.8XXD,"Fall (on) (from) other stairs and steps, subsequent encounter"
W109XXA,W10.9XXA,"Fall (on) (from) unspecified stairs and steps, initial encounter"
W11XXXA,W11.XXXA,"Fall on and from ladder, initial encounter"
W11XXXD,W11.XXXD,"Fall on and from ladder, subsequent encounter"
Z3A19,Z3A.19,19 weeks gestation of pregnancy
Z3A20,Z3A.20,20 weeks gestation of pregnancy
Z3A21,Z3A.21,21 weeks gestation of pregnancy
Z3A22,Z3A.22,22 weeks gestation of pregnancy
Z3A23,Z3A.23,23 weeks gestation of pregnancy
Z3A24,Z3A.24,24 weeks gestation of pregnancy
Z3A25,Z3A.25,25 weeks gestation of pregnancy
Z3A26,Z3A.26,26 weeks gestation of pregnancy
Z3A27,Z3A.27,27 weeks gestation of pregnancy
Z3A28,Z3A.28,28 weeks gestation of pregnancy
Z3A29,Z3A.29,29 weeks gestation of pregnancy
Z3A30,Z3A.30,30 weeks gestation of pregnancy
Z3A31,Z3A.31,31 weeks gestation of pregnancy
Z3A32,Z3A.32,32 weeks gestation of pregnancy
Z3A33,Z3A.33,33 weeks gestation of pregnancy
Z3A34,Z3A.34,34 weeks gestation of pregnancy
Z3A35,Z3A.35,35 weeks gestation of pregnancy
Z3A36,Z3A.36,36 weeks gestation of pregnancy
Z3A37,Z3A.37,37 weeks gestation of pregnancy
Z3A38,Z3A.38,38 weeks gestation of pregnancy
Z3A39,Z3A.39,39 weeks gestation of pregnancy
Z3A40,Z3A.40,40 weeks gestation of pregnancy
Z3A41,Z3A.41,41 weeks gestation of pregnancy
Z4002,Z40.02,Encounter for prophylactic removal of ovary(s)
Z408,Z40.8,Encounter for other prophylactic surgery
Z418,Z41.8,Encounter for other procedures for purposes other than remedying health state
Z419,Z41.9,"Encounter for procedure for purposes other than remedying health state, unspecified"
Z421,Z42.1,Encounter for breast reconstruction following mastectomy
Z430,Z43.0,Encounter for attention to tracheostomy
Z431,Z43.1,Encounter for attention to gastrostomy
Z432,Z43.2,Encounter for attention to ileostomy
Z436,Z43.6,Encounter for attention to other artificial openings of urinary tract
Z439,Z43.9,Encounter for attention to unspecified artificial opening
Z45010,Z45.010,Encounter for checking and testing of cardiac pacemaker pulse generator [battery]
Z45018,Z45.018,Encounter for adjustment and management of other part of cardiac pacemaker
Z4502,Z45.02,Encounter for adjustment and management of automatic implantable cardiac defibrillator
Z452,Z45.2,Encounter for adjustment and management of vascular access device
Z4542,Z45.42,Encounter for adjustment and management of neurostimulator
Z460,Z46.0,Encounter for fitting and adjustment of spectacles and contact lenses
Z461,Z46.1,Encounter for fitting and adjustment of hearing aid
Z4659,Z46.59,Encounter for fitting and adjustment of other gastrointestinal appliance and device
Z4682,Z46.82,Encounter for fitting and adjustment of non-vascular catheter
Z4689,Z46.89,Encounter for fitting and adjustment of other specified devices
Z469,Z46.9,Encounter for fitting and adjustment of unspecified device
Z471,Z47.1,Aftercare following joint replacement surgery
Z472,Z47.2,Encounter for removal of internal fixation device
Z4782,Z47.82,Encounter for orthopedic aftercare following scoliosis surgery
Z4789,Z47.89,Encounter for other orthopedic aftercare
Z4800,Z48.00,Encounter for change or removal of nonsurgical wound dressing
Z4801,Z48.01,Encounter for change or removal of surgical wound dressing
Z4802,Z48.02,Encounter for removal of sutures
Z4821,Z48.21,Encounter for aftercare following heart transplant
Z48298,Z48.298,Encounter for aftercare following other organ transplant
Z483,Z48.3,Aftercare following surgery for neoplasm
Z48811,Z48.811,Encounter for surgical aftercare following surgery on the nervous system
Z48812,Z48.812,Encounter for surgical aftercare following surgery on the circulatory system
Z48813,Z48.813,Encounter for surgical aftercare following surgery on the respiratory system
Z48815,Z48.815,Encounter for surgical aftercare following surgery on the digestive system
Z48816,Z48.816,Encounter for surgical aftercare following surgery on the genitourinary system
Z48817,Z48.817,Encounter for surgical aftercare following surgery on the skin and subcutaneous tissue
Z4889,Z48.89,Encounter for other specified surgical aftercare
Z510,Z51.0,Encounter for antineoplastic radiation therapy
Z5111,Z51.11,Encounter for antineoplastic chemotherapy
Z5112,Z51.12,Encounter for antineoplastic immunotherapy
Z515,Z51.5,Encounter for palliative care
Z5181,Z51.81,Encounter for therapeutic drug level monitoring
Z5189,Z51.89,Encounter for other specified aftercare
Z526,Z52.6,Liver donor
Z5309,Z53.09,Procedure and treatment not carried out because of other contraindication
Z531,Z53.1,Procedure and treatment not carried out because of patient's decision for reasons of belief and group pressure
Z5320,Z53.20,Procedure and treatment not carried out because of patient's decision for unspecified reasons
Z5321,Z53.21,Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider
Z5329,Z53.29,Procedure and treatment not carried out because of patient's decision for other reasons
Z538,Z53.8,Procedure and treatment not carried out for other reasons
Z560,Z56.0,"Unemployment, unspecified"
Z566,Z56.6,Other physical and mental strain related to work
Z569,Z56.9,Unspecified problems related to employment
Z590,Z59.0,Homelessness
Z5901,Z59.01,Sheltered homelessness
Z591,Z59.1,Inadequate housing
Z596,Z59.6,Low income
Z598,Z59.8,Other problems related to housing and economic circumstances
Z599,Z59.9,"Problem related to housing and economic circumstances, unspecified"
Z600,Z60.0,Problems of adjustment to life-cycle transitions
Z602,Z60.2,Problems related to living alone
Z609,Z60.9,"Problem related to social environment, unspecified"
Z62810,Z62.810,Personal history of physical and sexual abuse in childhood
Z62820,Z62.820,Parent-biological child conflict
Z629,Z62.9,"Problem related to upbringing, unspecified"
Z630,Z63.0,Problems in relationship with spouse or partner
Z634,Z63.4,Disappearance and death of family member
Z636,Z63.6,Dependent relative needing care at home
Z6379,Z63.79,Other stressful life events affecting family and household
Z638,Z63.8,Other specified problems related to primary support group
Z639,Z63.9,"Problem related to primary support group, unspecified"
Z659,Z65.9,Problem related to unspecified psychosocial circumstances
Z66,Z66,Do not resuscitate
Z6710,Z67.10,"Type A blood, Rh positive"
Z68,Z68,Body mass index [BMI]
Z681,Z68.1,"Body mass index [BMI] 19.9 or less, adult"
Z6820,Z68.20,"Body mass index [BMI] 20.0-20.9, adult"
Z6821,Z68.21,"Body mass index [BMI] 21.0-21.9, adult"
Z6822,Z68.22,"Body mass index [BMI] 22.0-22.9, adult"
Z6823,Z68.23,"Body mass index [BMI] 23.0-23.9, adult"
Z6824,Z68.24,"Body mass index [BMI] 24.0-24.9, adult"
Z6825,Z68.25,"Body mass index [BMI] 25.0-25.9, adult"
Z6826,Z68.26,"Body mass index [BMI] 26.0-26.9, adult"
Z6827,Z68.27,"Body mass index [BMI] 27.0-27.9, adult"
Z6828,Z68.28,"Body mass index [BMI] 28.0-28.9, adult"
Z6829,Z68.29,"Body mass index [BMI] 29.0-29.9, adult"
Z6830,Z68.30,"Body mass index [BMI] 30.0-30.9, adult"
Z6831,Z68.31,"Body mass index [BMI] 31.0-31.9, adult"
Z6832,Z68.32,"Body mass index [BMI] 32.0-32.9, adult"
Z6833,Z68.33,"Body mass index [BMI] 33.0-33.9, adult"
Z6834,Z68.34,"Body mass index [BMI] 34.0-34.9, adult"
Z6835,Z68.35,"Body mass index [BMI] 35.0-35.9, adult"
Z6836,Z68.36,"Body mass index [BMI] 36.0-36.9, adult"
Z6837,Z68.37,"Body mass index [BMI] 37.0-37.9, adult"
Z6838,Z68.38,"Body mass index [BMI] 38.0-38.9, adult"
Z6839,Z68.39,"Body mass index [BMI] 39.0-39.9, adult"
Z684,Z68.4,"Body mass index [BMI] 40 or greater, adult"
Z6841,Z68.41,"Body mass index [BMI] 40.0-44.9, adult"
Z6842,Z68.42,"Body mass index [BMI] 45.0-49.9, adult"
Z6852,Z68.52,"Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age"
Z6853,Z68.53,"Body mass index [BMI] pediatric, 85th percentile to less than 95th percentile for age"
Z6854,Z68.54,"Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age"
Z708,Z70.8,Other sex counseling
Z711,Z71.1,Person with feared health complaint in whom no diagnosis is made
Z712,Z71.2,Person consulting for explanation of examination or test findings
Z713,Z71.3,Dietary counseling and surveillance
Z7151,Z71.51,Drug abuse counseling and surveillance of drug abuser
Z716,Z71.6,Tobacco abuse counseling
Z717,Z71.7,Human immunodeficiency virus [HIV] counseling
Z7182,Z71.82,Exercise counseling
Z7189,Z71.89,Other specified counseling
Z719,Z71.9,"Counseling, unspecified"
Z720,Z72.0,Tobacco use
Z7251,Z72.51,High risk heterosexual behavior
Z7252,Z72.52,High risk homosexual behavior
Z72820,Z72.820,Sleep deprivation
Z7289,Z72.89,Other problems related to lifestyle
Z733,Z73.3,"Stress, not elsewhere classified"
Z7401,Z74.01,Bed confinement status
Z7409,Z74.09,Other reduced mobility
Z741,Z74.1,Need for assistance with personal care
Z742,Z74.2,Need for assistance at home and no other household member able to render care
Z743,Z74.3,Need for continuous supervision
Z750,Z75.0,Medical services not available in home
Z760,Z76.0,Encounter for issue of repeat prescription
Z762,Z76.2,Encounter for health supervision and care of other healthy infant and child
Z7681,Z76.81,Expectant parent(s) prebirth pediatrician visit
Z7682,Z76.82,Awaiting organ transplant status
Z7689,Z76.89,Persons encountering health services in other specified circumstances
Z77011,Z77.011,Contact with and (suspected) exposure to lead
Z77090,Z77.090,Contact with and (suspected) exposure to asbestos
Z7722,Z77.22,Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic)
Z780,Z78.0,Asymptomatic menopausal state
Z781,Z78.1,Physical restraint status
Z789,Z78.9,Other specified health status
Z7901,Z79.01,Long term (current) use of anticoagulants
Z7902,Z79.02,Long term (current) use of antithrombotics/antiplatelets
Z791,Z79.1,Long term (current) use of non-steroidal anti-inflammatories (NSAID)
Z792,Z79.2,Long term (current) use of antibiotics
Z793,Z79.3,Long term (current) use of hormonal contraceptives
Z794,Z79.4,Long term (current) use of insulin
Z7951,Z79.51,Long term (current) use of inhaled steroids
Z7952,Z79.52,Long term (current) use of systemic steroids
Z79810,Z79.810,Long term (current) use of selective estrogen receptor modulators (SERMs)
Z79811,Z79.811,Long term (current) use of aromatase inhibitors
Z79818,Z79.818,Long term (current) use of other agents affecting estrogen receptors and estrogen levels
Z7982,Z79.82,Long term (current) use of aspirin
Z7983,Z79.83,Long term (current) use of bisphosphonates
Z7984,Z79.84,Long term (current) use of oral hypoglycemic drugs
Z7989,Z79.89,Other long term (current) drug therapy
Z79890,Z79.890,Hormone replacement therapy
Z79891,Z79.891,Long term (current) use of opiate analgesic
Z79899,Z79.899,Other long term (current) drug therapy
Z800,Z80.0,Family history of malignant neoplasm of digestive organs
Z801,Z80.1,"Family history of malignant neoplasm of trachea, bronchus and lung"
Z803,Z80.3,Family history of malignant neoplasm of breast
Z8041,Z80.41,Family history of malignant neoplasm of ovary
Z8042,Z80.42,Family history of malignant neoplasm of prostate
Z8052,Z80.52,Family history of malignant neoplasm of bladder
Z806,Z80.6,Family history of leukemia
Z808,Z80.8,Family history of malignant neoplasm of other organs or systems
Z809,Z80.9,"Family history of malignant neoplasm, unspecified"
Z811,Z81.1,Family history of alcohol abuse and dependence
Z818,Z81.8,Family history of other mental and behavioral disorders
Z820,Z82.0,Family history of epilepsy and other diseases of the nervous system
Z823,Z82.3,Family history of stroke
Z8249,Z82.49,Family history of ischemic heart disease and other diseases of the circulatory system
Z825,Z82.5,Family history of asthma and other chronic lower respiratory diseases
Z8261,Z82.61,Family history of arthritis
Z8262,Z82.62,Family history of osteoporosis
Z833,Z83.3,Family history of diabetes mellitus
Z8342,Z83.42,Family history of familial hypercholesterolemia
Z83438,Z83.438,Family history of other disorder of lipoprotein metabolism and other lipidemia
Z8349,Z83.49,"Family history of other endocrine, nutritional and metabolic diseases"
Z83511,Z83.511,Family history of glaucoma
Z83518,Z83.518,Family history of other specified eye disorder
Z8371,Z83.71,Family history of colonic polyps
Z8379,Z83.79,Family history of other diseases of the digestive system
Z840,Z84.0,Family history of diseases of the skin and subcutaneous tissue
Z8481,Z84.81,Family history of carrier of genetic disease
Z8489,Z84.89,Family history of other specified conditions
Z85028,Z85.028,Personal history of other malignant neoplasm of stomach
Z85030,Z85.030,Personal history of malignant carcinoid tumor of large intestine
Z85038,Z85.038,Personal history of other malignant neoplasm of large intestine
Z8507,Z85.07,Personal history of malignant neoplasm of pancreas
Z8509,Z85.09,Personal history of malignant neoplasm of other digestive organs
Z85118,Z85.118,Personal history of other malignant neoplasm of bronchus and lung
Z853,Z85.3,Personal history of malignant neoplasm of breast
Z8541,Z85.41,Personal history of malignant neoplasm of cervix uteri
Z8542,Z85.42,Personal history of malignant neoplasm of other parts of uterus
Z8543,Z85.43,Personal history of malignant neoplasm of ovary
Z8544,Z85.44,Personal history of malignant neoplasm of other female genital organs
Z8546,Z85.46,Personal history of malignant neoplasm of prostate
Z8551,Z85.51,Personal history of malignant neoplasm of bladder
Z85528,Z85.528,Personal history of other malignant neoplasm of kidney
Z8553,Z85.53,Personal history of malignant neoplasm of renal pelvis
Z856,Z85.6,Personal history of leukemia
Z8572,Z85.72,Personal history of non-Hodgkin lymphomas
Z8579,Z85.79,"Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues"
Z85810,Z85.810,Personal history of malignant neoplasm of tongue
Z85818,Z85.818,"Personal history of malignant neoplasm of other sites of lip, oral cavity, and pharynx"
Z85820,Z85.820,Personal history of malignant melanoma of skin
Z85828,Z85.828,Personal history of other malignant neoplasm of skin
Z85830,Z85.830,Personal history of malignant neoplasm of bone
Z85831,Z85.831,Personal history of malignant neoplasm of soft tissue
Z8589,Z85.89,Personal history of malignant neoplasm of other organs and systems
Z859,Z85.9,"Personal history of malignant neoplasm, unspecified"
Z86000,Z86.000,Personal history of in-situ neoplasm of breast
Z86007,Z86.007,Personal history of in-situ neoplasm of skin
Z86010,Z86.010,Personal history of colonic polyps
Z86018,Z86.018,Personal history of other benign neoplasm
Z8603,Z86.03,Personal history of neoplasm of uncertain behavior
Z8612,Z86.12,Personal history of poliomyelitis
Z8614,Z86.14,Personal history of Methicillin resistant Staphylococcus aureus infection
Z8616,Z86.16,Personal history of COVID-19
Z8619,Z86.19,Personal history of other infectious and parasitic diseases
Z862,Z86.2,Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Z8631,Z86.31,Personal history of diabetic foot ulcer
Z8632,Z86.32,Personal history of gestational diabetes
Z8639,Z86.39,"Personal history of other endocrine, nutritional and metabolic disease"
Z8659,Z86.59,Personal history of other mental and behavioral disorders
Z8669,Z86.69,Personal history of other diseases of the nervous system and sense organs
Z86711,Z86.711,Personal history of pulmonary embolism
Z86718,Z86.718,Personal history of other venous thrombosis and embolism
Z8673,Z86.73,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
Z8674,Z86.74,Personal history of sudden cardiac arrest
Z8679,Z86.79,Personal history of other diseases of the circulatory system
Z87,Z87,Personal history of other diseases and conditions
Z8701,Z87.01,Personal history of pneumonia (recurrent)
Z8709,Z87.09,Personal history of other diseases of the respiratory system
Z8711,Z87.11,Personal history of peptic ulcer disease
Z8719,Z87.19,Personal history of other diseases of the digestive system
Z872,Z87.2,Personal history of diseases of the skin and subcutaneous tissue
Z87311,Z87.311,Personal history of (healed) other pathological fracture
Z8739,Z87.39,Personal history of other diseases of the musculoskeletal system and connective tissue
Z8742,Z87.42,Personal history of other diseases of the female genital tract
Z87430,Z87.430,Personal history of prostatic dysplasia
Z87438,Z87.438,Personal history of other diseases of male genital organs
Z87440,Z87.440,Personal history of urinary (tract) infections
Z87442,Z87.442,Personal history of urinary calculi
Z87448,Z87.448,Personal history of other diseases of urinary system
Z8759,Z87.59,"Personal history of other complications of pregnancy, childbirth and the puerperium"
Z87718,Z87.718,Personal history of other specified (corrected) congenital malformations of genitourinary system
Z87738,Z87.738,Personal history of other specified (corrected) congenital malformations of digestive system
Z8774,Z87.74,Personal history of (corrected) congenital malformations of heart and circulatory system
Z8781,Z87.81,Personal history of (healed) traumatic fracture
Z87820,Z87.820,Personal history of traumatic brain injury
Z87828,Z87.828,Personal history of other (healed) physical injury and trauma
Z8789,Z87.89,Personal history of other specified conditions
Z87891,Z87.891,Personal history of nicotine dependence
Z87898,Z87.898,Personal history of other specified conditions
Z880,Z88.0,Allergy status to penicillin
Z881,Z88.1,Allergy status to other antibiotic agents
Z882,Z88.2,Allergy status to sulfonamides
Z883,Z88.3,Allergy status to other anti-infective agents
Z884,Z88.4,Allergy status to anesthetic agent
Z885,Z88.5,Allergy status to narcotic agent
Z886,Z88.6,Allergy status to analgesic agent
Z888,Z88.8,"Allergy status to other drugs, medicaments and biological substances"
Z889,Z88.9,"Allergy status to unspecified drugs, medicaments and biological substances"
Z89431,Z89.431,Acquired absence of right foot
Z89432,Z89.432,Acquired absence of left foot
Z89511,Z89.511,Acquired absence of right leg below knee
Z89611,Z89.611,Acquired absence of right leg above knee
Z89619,Z89.619,Acquired absence of unspecified leg above knee
Z9011,Z90.11,Acquired absence of right breast and nipple
Z9012,Z90.12,Acquired absence of left breast and nipple
Z9013,Z90.13,Acquired absence of bilateral breasts and nipples
Z902,Z90.2,Acquired absence of lung [part of]
Z903,Z90.3,Acquired absence of stomach [part of]
Z9049,Z90.49,Acquired absence of other specified parts of digestive tract
Z905,Z90.5,Acquired absence of kidney
Z906,Z90.6,Acquired absence of other parts of urinary tract
Z90710,Z90.710,Acquired absence of both cervix and uterus
Z90722,Z90.722,"Acquired absence of ovaries, bilateral"
Z9079,Z90.79,Acquired absence of other genital organ(s)
Z9089,Z90.89,Acquired absence of other organs
Z9101,Z91.01,Food allergy status
Z91011,Z91.011,Allergy to milk products
Z91012,Z91.012,Allergy to eggs
Z91013,Z91.013,Allergy to seafood
Z91018,Z91.018,Allergy to other foods
Z91030,Z91.030,Bee allergy status
Z91038,Z91.038,Other insect allergy status
Z91040,Z91.040,Latex allergy status
Z91041,Z91.041,Radiographic dye allergy status
Z91048,Z91.048,Other nonmedicinal substance allergy status
Z9109,Z91.09,"Other allergy status, other than to drugs and biological substances"
Z9111,Z91.11,Patient's noncompliance with dietary regimen
Z91138,Z91.138,Patient's unintentional underdosing of medication regimen for other reason
Z9114,Z91.14,Patient's other noncompliance with medication regimen
Z9119,Z91.19,Patient's noncompliance with other medical treatment and regimen
Z91410,Z91.410,Personal history of adult physical and sexual abuse
Z91411,Z91.411,Personal history of adult psychological abuse
Z915,Z91.5,Personal history of self-harm
Z9181,Z91.81,History of falling
Z9183,Z91.83,Wandering in diseases classified elsewhere
Z9189,Z91.89,"Other specified personal risk factors, not elsewhere classified"
Z920,Z92.0,Personal history of contraception
Z9221,Z92.21,Personal history of antineoplastic chemotherapy
Z9222,Z92.22,Personal history of monoclonal drug therapy
Z92241,Z92.241,Personal history of systemic steroid therapy
Z9225,Z92.25,Personal history of immunosuppression therapy
Z9229,Z92.29,Personal history of other drug therapy
Z923,Z92.3,Personal history of irradiation
Z9289,Z92.89,Personal history of other medical treatment
Z930,Z93.0,Tracheostomy status
Z931,Z93.1,Gastrostomy status
Z934,Z93.4,Other artificial openings of gastrointestinal tract status
Z936,Z93.6,Other artificial openings of urinary tract status
Z939,Z93.9,"Artificial opening status, unspecified"
Z941,Z94.1,Heart transplant status
Z944,Z94.4,Liver transplant status
Z947,Z94.7,Corneal transplant status
Z949,Z94.9,"Transplanted organ and tissue status, unspecified"
Z950,Z95.0,Presence of cardiac pacemaker
Z951,Z95.1,Presence of aortocoronary bypass graft
Z952,Z95.2,Presence of prosthetic heart valve
Z953,Z95.3,Presence of xenogenic heart valve
Z954,Z95.4,Presence of other heart-valve replacement
Z955,Z95.5,Presence of coronary angioplasty implant and graft
Z95810,Z95.810,Presence of automatic (implantable) cardiac defibrillator
Z95818,Z95.818,Presence of other cardiac implants and grafts
Z95820,Z95.820,Peripheral vascular angioplasty status with implants and grafts
Z95828,Z95.828,Presence of other vascular implants and grafts
Z959,Z95.9,"Presence of cardiac and vascular implant and graft, unspecified"
Z960,Z96.0,Presence of urogenital implants
Z961,Z96.1,Presence of intraocular lens
Z9641,Z96.41,Presence of insulin pump (external) (internal)
Z96611,Z96.611,Presence of right artificial shoulder joint
Z96612,Z96.612,Presence of left artificial shoulder joint
Z96641,Z96.641,Presence of right artificial hip joint
Z96642,Z96.642,Presence of left artificial hip joint
Z96643,Z96.643,"Presence of artificial hip joint, bilateral"
Z96649,Z96.649,Presence of unspecified artificial hip joint
Z96651,Z96.651,Presence of right artificial knee joint
Z96652,Z96.652,Presence of left artificial knee joint
Z96653,Z96.653,"Presence of artificial knee joint, bilateral"
Z96659,Z96.659,Presence of unspecified artificial knee joint
Z96691,Z96.691,Finger-joint replacement of right hand
Z967,Z96.7,Presence of other bone and tendon implants
Z9689,Z96.89,Presence of other specified functional implants
Z969,Z96.9,"Presence of functional implant, unspecified"
Z970,Z97.0,Presence of artificial eye
Z973,Z97.3,Presence of spectacles and contact lenses
Z975,Z97.5,Presence of (intrauterine) contraceptive device
Z978,Z97.8,Presence of other specified devices
Z980,Z98.0,Intestinal bypass and anastomosis status
Z981,Z98.1,Arthrodesis status
Z982,Z98.2,Presence of cerebrospinal fluid drainage device
Z9841,Z98.41,"Cataract extraction status, right eye"
Z9842,Z98.42,"Cataract extraction status, left eye"
Z9849,Z98.49,"Cataract extraction status, unspecified eye"
Z9851,Z98.51,Tubal ligation status
Z9861,Z98.61,Coronary angioplasty status
Z9882,Z98.82,Breast implant status
Z9884,Z98.84,Bariatric surgery status
Z9889,Z98.89,Other specified postprocedural states
Z98890,Z98.890,Other specified postprocedural states
Z98891,Z98.891,History of uterine scar from previous surgery
Z9911,Z99.11,Dependence on respirator [ventilator] status
Z992,Z99.2,Dependence on renal dialysis
Z9981,Z99.81,Dependence on supplemental oxygen
Z9989,Z99.89,Dependence on other enabling machines and devices
M0510,M05.10,Rheumatoid lung disease with rheumatoid arthritis of unspecified site
M0530,M05.30,Rheumatoid heart disease with rheumatoid arthritis of unspecified site
M0540,M05.40,Rheumatoid myopathy with rheumatoid arthritis of unspecified site
M0550,M05.50,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site
M0559,M05.59,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites
M0560,M05.60,Rheumatoid arthritis of unspecified site with involvement of other organs and systems
M0569,M05.69,Rheumatoid arthritis of multiple sites with involvement of other organs and systems
M0570,M05.70,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement
M05741,M05.741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement
M05742,M05.742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement
M0579,M05.79,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement
M0589,M05.89,Other rheumatoid arthritis with rheumatoid factor of multiple sites
M059,M05.9,"Rheumatoid arthritis with rheumatoid factor, unspecified"
M06,M06,Other rheumatoid arthritis
M0600,M06.00,"Rheumatoid arthritis without rheumatoid factor, unspecified site"
M06011,M06.011,"Rheumatoid arthritis without rheumatoid factor, right shoulder"
M06031,M06.031,"Rheumatoid arthritis without rheumatoid factor, right wrist"
M06032,M06.032,"Rheumatoid arthritis without rheumatoid factor, left wrist"
M06041,M06.041,"Rheumatoid arthritis without rheumatoid factor, right hand"
M06042,M06.042,"Rheumatoid arthritis without rheumatoid factor, left hand"
M06051,M06.051,"Rheumatoid arthritis without rheumatoid factor, right hip"
M06072,M06.072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot"
M0609,M06.09,"Rheumatoid arthritis without rheumatoid factor, multiple sites"
M06361,M06.361,"Rheumatoid nodule, right knee"
M06362,M06.362,"Rheumatoid nodule, left knee"
M064,M06.4,Inflammatory polyarthropathy
M0680,M06.80,"Other specified rheumatoid arthritis, unspecified site"
M06871,M06.871,"Other specified rheumatoid arthritis, right ankle and foot"
M06872,M06.872,"Other specified rheumatoid arthritis, left ankle and foot"
M0689,M06.89,"Other specified rheumatoid arthritis, multiple sites"
M069,M06.9,"Rheumatoid arthritis, unspecified"
M1000,M10.00,"Idiopathic gout, unspecified site"
M10071,M10.071,"Idiopathic gout, right ankle and foot"
M10072,M10.072,"Idiopathic gout, left ankle and foot"
M1009,M10.09,"Idiopathic gout, multiple sites"
M10471,M10.471,"Other secondary gout, right ankle and foot"
M109,M10.9,"Gout, unspecified"
M11262,M11.262,"Other chondrocalcinosis, left knee"
O76,O76,Abnormality in fetal heart rate and rhythm complicating labor and delivery
O770,O77.0,Labor and delivery complicated by meconium in amniotic fluid
O778,O77.8,Labor and delivery complicated by other evidence of fetal stress
O80,O80,Encounter for full-term uncomplicated delivery
O82,O82,Encounter for cesarean delivery without indication
O9081,O90.81,Anemia of the puerperium
